,coef,std_err,p_value,odds_ratio,ci_lower,ci_upper
technique_Lob,3.4796,1.2113,0.0041,32.446,3.0207,348.5106
technique_Diving Header,2.7807,1.2638,0.0278,16.1296,1.3549,192.023
technique_Normal,2.206,1.1085,0.0466,9.0795,1.0338,79.74
shot_angle_deg_log,1.6478,0.3297,0.0,5.1956,2.7227,9.9148
technique_Half Volley,1.4241,1.1127,0.2006,4.1541,0.4692,36.7799
technique_Volley,1.4241,1.1236,0.205,4.1541,0.4592,37.5784
play_pattern_From Keeper,0.9842,0.3867,0.0109,2.6756,1.254,5.7089
play_pattern_Other,0.893,0.7705,0.2464,2.4425,0.5395,11.0581
play_pattern_From Counter,0.8747,0.311,0.0049,2.3981,1.3035,4.4118
play_pattern_From Goal Kick,0.8333,0.3172,0.0086,2.301,1.2356,4.285
technique_Overhead Kick,0.7555,1.5183,0.6188,2.1287,0.1086,41.7401
play_pattern_From Throw In,0.7359,0.226,0.0011,2.0874,1.3405,3.2504
play_pattern_Regular Play,0.6814,0.2086,0.0011,1.9767,1.3134,2.975
play_pattern_From Kick Off,0.6759,0.5783,0.2425,1.9657,0.6328,6.1062
play_pattern_From Free Kick,0.6432,0.2271,0.0046,1.9025,1.2191,2.969
first_time,0.0092,0.1529,0.9518,1.0093,0.748,1.3619
minute,0.0001,0.0022,0.952,1.0001,0.9958,1.0045
game_state_level,-0.3363,0.1458,0.0211,0.7144,0.5369,0.9507
game_state_trailing,-0.4241,0.1667,0.011,0.6544,0.472,0.9072
shot_type_clean_Set Piece,-0.4324,0.6157,0.4825,0.6489,0.1941,2.1693
under_pressure,-0.6017,0.1572,0.0001,0.5479,0.4026,0.7456
distance_to_goal_log,-1.164,0.3516,0.0009,0.3122,0.1568,0.622
body_part_clean_Head,-1.3662,0.2281,0.0,0.2551,0.1631,0.3989
body_part_clean_Other,-2.1449,0.643,0.0009,0.1171,0.0332,0.4129
